20230217	19:43:12	5a41ead8-44d2-492d-be30-3be604de2c32	GET 	undefined 	/employees
20230217	19:43:13	52aa9c39-c36e-454f-92cb-e341f46e0e08	GET 	undefined 	/employees
20230217	19:43:15	f36a64a8-3fbb-4dca-a4ec-2c5b654d441a	GET 	undefined 	/employees/
20230217	19:44:31	db02f807-1816-4f6e-88f8-2f6a33b5116e	GET 	undefined 	/employees/1
20230217	19:44:32	503b9441-69a1-4e09-86d3-99cea80e4952	GET 	undefined 	/employees/2
20230217	19:44:32	308aa303-17cb-4060-82ce-dba03b5318f5	GET 	undefined 	/employees/3
20230217	19:44:34	40fdad29-55b5-45ec-a7b1-07fe791f60ac	GET 	undefined 	/employees/2
20230217	19:44:35	cb4bc095-eeb1-4a52-bcc4-7cce36077446	GET 	undefined 	/employees/4
20230217	19:44:36	4e262d89-1ca9-41a7-abc2-13708d83c205	GET 	undefined 	/employees/2
20230217	19:44:37	426f4fc6-c4d2-469e-bc8d-0cef21b1710d	GET 	undefined 	/employees/1
20230217	19:44:38	6e91e949-c7f4-4a5e-872f-dc8edce8f57d	GET 	undefined 	/employees/
20230217	19:49:56	051765bc-d194-4ca0-bc8b-3d1ea7401b9f	POST 	undefined 	/register/
20230217	19:50:08	a2fb85f0-acb5-421e-b8b6-c91be883774b	POST 	undefined 	/employees/
20230217	19:50:11	326c5992-6ec3-48d0-b73d-e00d3fcaa1a9	GET 	undefined 	/employees/
20230217	19:50:14	0c0f7e4a-a903-4624-bf40-e0eb306bb1fe	GET 	undefined 	/employees/
20230217	19:50:14	84e4b01f-aaf0-45d5-aa13-572206b95176	GET 	undefined 	/employees/
20230217	19:50:15	68e6cca5-9422-405a-8c92-4af3b4192702	GET 	undefined 	/employees/
20230217	19:50:15	904e2e54-c770-4363-9399-1f4154727514	GET 	undefined 	/employees/
20230217	19:52:55	80b7fa64-11f2-4cc1-8b3f-fc99f969d680	GET 	undefined 	/employees/
